20250 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20251 2447.98 2.67255489955  2427.665 4.18765743561  2222.44 4.23856293494  2281.96 4.29443769556  2419.295 4.68940894353  2461.55 3.87369588488  2358.62 3.12966368962  710.516 10.1704851335 
20253 2477.545 2.66680515335  2443.155 3.89912795929  2298.865 4.74469953781  2275.26 3.90746344552  2424.985 3.74517451738  2471.735 5.18774377486  2288.92 2.85295090845  -486.5115 1810.87349737 
20254 2469.489 1.19223600966  2446.69 1.84476994377  2299.756 2.1391912501  2278.642 1.96883399051  2425.817 1.68808559043  2478.697 1.80235451764  2294.633 1.27896780886  643.8581 5.1773672083 
20255 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20256 2464.385 2.61037203242  2443.17 3.81083209579  2302.53 4.93724709558  2273.9 4.44127073493  2424.7 4.75972249089  2479.23 3.69117105911  2297.715 2.91835513272  670.154 34.3634443962 
20257 2470.682 1.19080346118  2441.56 1.71214310024  2293.757 2.07656706853  2275.796 2.04250353037  2413.421 1.67810542427  2475.16 1.85386748985  2299.353 1.31106371967  713.2072 4.14188204152 
20258 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20259 2454.02 1.17137310643  2426.171 1.85861699067  2282.782 2.21276468453  2253.127 1.91912840845  2394.589 1.75814898097  2462.646 1.70847347537  2279.576 1.25592041031  682.7967 214.93566437 
20260 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20261 2438.04 2.70777354626  2409.35 4.02421396069  2233.455 4.02527335345  2238.89 4.68393170563  2399.715 3.80711572979  2449.115 3.57267503242  2263.71 2.87101503925  722.3865 8.38845395171 
20262 2444.341 1.25319328501  2415.466 1.71183419373  2233.533 2.23705246156  2237.513 1.7694606086  2410.971 1.75722711959  2445.32 1.70613951417  2271.126 1.2863590843  538.5835 287.308736215 
20263 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20264 2440.63 2.62574327752  2417.83 3.68463449081  2235.14 4.70275243074  2230.125 3.91963533675  2409.84 3.51827428968  2444.835 3.86169458727  2273.175 2.95632739868  743.392 9.21178571641 
20515 2533.1 1.93158104525  1986.6925 1.90546399886  2190.975 3.36870853038  2186.455 2.66031442785  1522.22 1.3026688035  2303.175 2.39615867215  1570.625 1.19477506208  936.76175 19.6069256808 
20516 2532.945 1.88305622121  1986.925 1.75860234014  2194.68 3.2392222825  2188.3925 2.5652218862  1523.52 1.26633027288  2305.5075 2.12230742349  1570.0725 1.11878132144  717.52425 6.13573050271 
20517 2535.466 1.83142947058  1986.7 1.74083587852  2187.622 2.55026918574  2189.354 2.30936276749  1522.492 1.23929627155  2302.016 2.09953435948  1567.756 1.10177373994  707.315 11.0413668482 
20519 2533.895 1.85118198919  1988.075 1.87959617669  2190.13 3.7918142978  2195.5225 2.60375843272  1522.415 1.29275129546  2306.795 2.1810208439  1565.625 1.20968213022  708.3785 5.37814974653 
20520 2539.816 1.88332548358  1989.91 1.73718691724  2204.304 2.59293650704  2200.18 2.33058969986  1520.654 1.22481056843  2304.85 2.12495782529  1564.32 1.10956039747  717.3048 4.7681701207 
20522 2533.79 1.91681943885  1994.2525 1.97233081238  2207.3125 2.95592249978  2202.6 2.93479695761  1519.4575 1.34333967766  2305.8075 2.46869909917  1561.5275 1.27185374955  709.51825 6.40133437596 
20523 2538.685 1.91857610117  1993.895 1.88717273732  2196.915 2.88677751487  2196.105 2.59681444958  1523.4825 1.32206172922  2305.41 2.36049886499  1560.0875 1.20557120472  718.08425 5.56958985969 
20524 2540.0325 1.94252316123  1989.6875 1.88875742342  2198.62 2.93279485007  2199.0075 2.63671648915  1522.0175 1.32577287388  2307.7875 2.24327175906  1557.8525 1.21378913966  729.8975 5.80789752133 
20525 2530.1325 1.91909728876  1987.395 1.96665696839  2192.02 3.40152755035  2192.04 2.73624500723  1522.8325 1.37059972532  2303.1575 2.25477419958  1545.495 1.2360398952  724.81625 5.92524415296 
20526 2534.625 1.94905102096  1993.8525 1.92155441769  2193.975 2.94192915474  2187.605 2.50815470102  1519.72 1.33741591853  2307.6025 2.34950939916  1543.0225 1.18051130314  723.61 6.98314614254 
20527 2533.7475 1.84751309173  1990.2375 1.85079363783  2195.9375 2.90302227381  2187.3575 2.48706203805  1523.155 1.28906315298  2308.105 2.21127107731  1545.1325 1.17068999451  727.55925 5.44492720361 
20528 2534.774 1.68894567952  1992.578 1.92054118635  2191.952 2.77371960666  2193.268 2.69748428342  1521.102 1.23301130326  2300.142 2.05996504247  1558.414 1.12117170138  733.898 5.60307796076 
20529 2515.614 1.55845621217  1957.098 1.63884566507  2167.042 2.75270656909  2150.04 2.81857315708  1525.612 1.15434100582  2299.298 1.99560061033  1559.284 1.06330381795  729.2618 5.41787552917 
20530 2532.81666667 2.10799581744  1986.35333333 2.34223072278  2197.44333333 3.77717222908  2152.16666667 3.02143250903  1529.69333333 1.48552387638  2290.51 2.46615576383  1560.25 1.33862912609  729.725 6.65900339098 
20531 2545.03 7.11377  1994.44 8.11266  2205.78 10.9961  2158.37 10.9692  1527.86 5.11114  2281.03 9.0488  1564.63 4.33548  684.492 19.7556 
20542 2520.0 3.25413  1976.42 3.54282  2192.15 6.37012  2134.84 6.03236  1530.85 2.45511  2270.24 3.96894  1536.33 2.18202  688.918 11.2228 
20543 2524.31 1.86966789754  1980.015 1.96914284338  2195.55 3.53379333194  2128.2475 2.68541707271  1528.58 1.43258038355  2274.9075 2.3809290592  1535.7825 1.21093620634  701.3025 5.43273065564 
20544 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20545 2530.57 3.45562  1981.41 3.42701  2190.6 5.76343  2123.33 4.93457  1528.69 2.56673  2271.62 4.0858  1528.88 2.27248  675.646 9.61176 
20546 2526.895 1.9391124952  1980.5475 1.98661280076  2191.37 3.23013981065  2125.765 3.0536308378  1529.32 1.4257991748  2273.88 2.47068128405  1527.065 1.2413749221  690.553 4.9674922236 
20547 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20548 2523.9375 1.90966065652  1982.53 1.94805239869  2199.63 3.29151185019  2135.0425 2.68174114951  1530.58 1.36164044196  2267.245 2.14917360095  1520.5225 1.22111936007  682.866 5.15809425733 
20549 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20550 2518.53 3.47783  1988.49 3.49343  2192.16 4.8641  2117.66 5.14997  1526.13 2.73903  2266.32 4.18211  1508.5 2.38846  677.908 10.9156 
20551 2521.7975 1.9868134226  1979.57 1.93969035782  2190.72 3.04727808635  2124.99 2.81975863863  1527.6225 1.38701483781  2274.0 2.44059092435  1498.0225 1.22046211879  679.33825 5.50699080758 
20552 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20553 2516.91 4.15644  1987.38 3.49092  2197.49 5.48031  2126.66 4.80064  1521.62 2.58795  2278.26 4.05759  1481.92 2.13855  697.924 7.93176 
20554 2521.28 3.63463  1979.14 3.69378  2182.95 5.08462  2132.44 5.20416  1523.74 2.52379  2269.64 3.93948  1472.8 2.14361  680.56 8.0147 
20555 2521.5425 1.9946540045  1977.3175 2.05356127893  2189.4725 3.05333895504  2125.5475 2.66678891015  1521.355 1.41218181555  2274.3075 2.28687271671  1492.6575 1.20770143895  682.77825 5.02948707423 
20556 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20557 2517.58 3.75441  1985.81 3.42797  2187.9 5.83531  2125.87 5.27453  1514.2 2.52894  2269.46 4.54392  1537.24 2.23102  664.04 8.32367 
20558 2518.095 1.92337931865  1978.8625 1.95460049954  2192.1975 3.60338659356  2131.39 3.03528230397  1511.3925 1.37813229251  2268.765 2.30323697506  1535.4975 1.21487570299  683.39725 4.94918275228 
20559 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20560 2516.805 1.92720742238  1977.365 1.9593173563  2192.1925 3.27394516394  2131.2875 2.68793878957  1505.7575 1.40008639643  2271.2125 2.36510010212  1546.705 1.26812573804  676.261 4.6219766452 
20561 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20573 2524.44 2.94597  1978.18 3.13843  2155.01 4.34749  2175.19 4.58256  1508.95 2.23618  2257.67 4.72757  1707.75 2.30377  685.658 9.21462 
20574 2541.9725 1.17047755173  1993.005 1.15256667174  2166.12333333 1.76663856201  2139.38833333 1.63843998707  1520.25666667 0.809132165246  2269.09833333 1.40889080674  1718.27 0.81995713785  746.0535 6.88424512941 
20575 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20576 2545.94 3.02069  2009.59 3.29514  2174.69 4.31842  2149.35 3.97389  1514.77 2.16798  2274.12 3.62762  1714.85 2.18031  693.359 9.38628 
20577 2556.84833333 1.24670785378  2007.85083333 1.11757423132  2178.715 1.86831246803  2140.295 1.6749483747  1508.16583333 0.80727491083  2283.3575 1.3807912627  1716.985 0.814795651047  674.07775 3.33866510267 
20578 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20579 2559.43333333 1.16999681091  1998.27416667 1.1465515704  2181.8 1.84544535345  2056.79916667 1.48102938774  1506.46833333 0.791330491097  2277.31666667 1.34260317216  1725.4125 0.810026297549  677.662333333 5.99710989967 
20580 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20581 2560.44 3.06308  2004.12 2.99113  2195.31 5.08235  2076.3 3.85322  1512.68 2.17335  2287.61 3.68297  1697.8 2.22377  691.31 7.75892 
20592 2601.05583333 1.1659741623  2012.50166667 1.17464331895  2172.7175 1.79169195519  2313.49 1.86096240048  1517.92583333 0.804542644112  2319.95166667 1.40636885974  1719.5775 0.81803036132  470.46 207.485483693 
20593 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20594 2611.18 3.08734  2012.01 3.26651  2176.35 4.84679  2326.68 5.30547  1514.71 2.24632  2322.52 3.74744  1733.92 2.16635  669.98 8.39732 
20595 2605.32 3.24326  2016.92 3.09519  2172.21 4.69203  2327.58 4.2914  1519.07 2.21915  2337.74 3.52358  1731.9 2.31013  685.068 7.29949 
20596 2598.43 1.19660103731  2020.41666667 1.2017762767  2182.69583333 1.75660286199  2323.28083333 1.7934428411  1515.35 0.809950210993  2330.11333333 1.42364578912  1715.65166667 0.819940463432  673.258083333 2.94155453787 
20597 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20598 2604.21 2.99249  2009.28 3.10318  2211.46 7.30947  2327.11 4.58955  1516.11 2.22207  2326.52 3.6645  1717.88 2.28303  668.006 9.2186 
20599 2615.18166667 1.17211022423  2017.845 1.23903328464  2183.18916667 1.80710679499  2360.7975 2.03103779036  1512.895 0.805541576438  2335.795 1.40503263883  1715.59333333 0.821324420236  681.692666667 3.08591585396 
20600 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20601 2619.94166667 1.20572863313  2033.36833333 1.20016764737  2176.98416667 1.82282119745  2378.77583333 2.17803427406  1511.97833333 0.806084368424  2330.60583333 1.39086762621  1718.89166667 0.828690192878  676.84325 3.26985369709 
20602 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20603 2619.02 3.05643  2035.6 3.17228  2176.6 4.89907  2385.57 4.60434  1515.62 2.18944  2319.6 4.87109  1778.22 2.27525  690.418 10.1798 
20604 2619.0225 1.20084776514  2034.79583333 1.20457266374  2180.27416667 1.77815279205  2381.21583333 2.12509359376  1510.65583333 0.803356847457  2342.1625 1.42722041638  1768.985 0.837733402449  668.6865 2.99638304464 
20605 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20606 2619.94 3.03109  2038.32 3.29199  2175.02 4.44015  2375.03 6.86813  1511.53 2.19959  2350.56 3.7428  1710.97 2.41515  669.433 7.57502 
20607 2622.44 3.14469  2031.18 3.1595  2179.12 4.82864  2371.82 5.61236  1503.28 2.18518  2337.29 3.69448  1711.99 2.20336  684.323 9.78628 
20608 2615.75666667 1.25248296827  2028.70583333 1.20236184411  2177.82166667 1.79154894656  2378.06 1.93960502498  1505.04416667 0.798159946247  2323.65 1.34987351096  1734.355 0.818424272896  617.924583333 2.85192547542 
20609 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20614 2600.96 3.03242  2033.2 3.24472  2180.4 4.56485  2353.57 4.50721  1505.99 2.23366  2329.87 3.65302  1751.14 2.2335  678.385 7.94142 
20615 2601.765 1.21559635132  2024.10333333 1.19814469263  2169.84166667 1.84406358028  2354.23333333 1.86908405265  1508.95583333 0.795421771522  2313.9925 1.43191926267  1753.10083333 0.851873871661  670.83575 2.85562547277 
